 num  ID                                      tier       chi2/pix  source_model
 100  KiDSDR4_J113146.090+002212.70           good          1.789  parametric
 101  KiDSDR4_J033605.770-331220.58           good          1.798  parametric
 102  KiDSDR4_J025746.733-353418.53           good          1.806  parametric
 103  KiDSDR4_J010127.840-334319.40           good          1.808  parametric
 104  KiDSDR4_J223409.199-285423.36           good          1.820  parametric
 105  KiDSDR4_J004439.128-291957.30           good          1.824  parametric
 106  KiDSDR4_J235629.267-314515.77           good          1.842  parametric
 107  KiDSDR4_J221400.330-292031.21           good          1.844  parametric
 108  KiDSDR4_J220412.512-350654.12           good          1.875  parametric
 109  KiDSDR4_J023300.432-330820.16           good          1.875  parametric
 110  KiDSDR4_J023714.701-280719.03           good          1.875  parametric
 111  KiDSDR4_J134455.641-002015.60           good          1.893  parametric
 112  KiDSDR4_J005404.848-305809.32           good          1.897  parametric
 113  KiDSDR4_J083933.372-014044.81           good          1.900  parametric
 114  KiDSDR4_J122443.450-002811.36           good          1.908  parametric
 115  KiDSDR4_J000239.985-294635.77           good          1.909  parametric
 116  KiDSDR4_J091523.562-005521.33           good          1.910  parametric
 117  KiDSDR4_J032100.783-281810.47           good          1.917  parametric
 118  KiDSDR4_J131529.230+013223.65           good          1.922  parametric
 119  KiDSDR4_J001941.102-332229.42           good          1.951  parametric
 120  KiDSDR4_J004204.610-323222.56           good          1.968  parametric
 121  KiDSDR4_J141325.378+010907.83           good          1.972  parametric
 122  KiDSDR4_J085156.962+013016.65           decent        2.030  parametric
 123  KiDSDR4_J013823.201-284408.09           decent        2.054  parametric
 124  KiDSDR4_J025825.003-264515.50           decent        2.056  parametric
 125  KiDSDR4_J123752.030+000846.84           decent        2.066  parametric
 126  KiDSDR4_J234450.820-314201.44           decent        2.070  parametric
 127  KiDSDR4_J141741.465+021705.13           decent        2.100  parametric
 128  KiDSDR4_J000837.779-330700.01           decent        2.128  parametric
 129  KiDSDR4_J141913.862+025635.41           decent        2.146  pixelized
 130  KiDSDR4_J032219.773-342456.27           decent        2.152  parametric
 131  KiDSDR4_J144503.938-032042.35           decent        2.173  parametric
 132  KiDSDR4_J021555.605-342425.72           decent        2.187  parametric
 133  KiDSDR4_J152408.309-014343.35           decent        2.198  parametric
 134  KiDSDR4_J133459.471+001617.50           decent        2.255  parametric
 135  KiDSDR4_J151059.207+021938.68           decent        2.292  parametric
 136  KiDSDR4_J031609.185-340302.43           decent        2.313  parametric
 137  KiDSDR4_J230621.790-303040.05           decent        2.321  parametric
 138  KiDSDR4_J010704.918-312841.03           decent        2.346  parametric
 139  KiDSDR4_J230024.723-351233.67           decent        2.351  parametric
 140  KiDSDR4_J142404.740-023019.89           decent        2.377  parametric
 141  KiDSDR4_J233105.551-335829.71           decent        2.378  parametric
 142  KiDSDR4_J143001.826-015045.16           decent        2.388  parametric
 143  KiDSDR4_J001659.713-293119.84           decent        2.402  parametric
 144  KiDSDR4_J222243.178-340745.35           decent        2.405  parametric
 145  KiDSDR4_J141136.980+015357.13           decent        2.419  parametric
 146  KiDSDR4_J090150.268-012118.51           decent        2.428  parametric
 147  KiDSDR4_J030247.990-303627.51           decent        2.454  parametric
 148  KiDSDR4_J142235.405-023857.36           decent        2.456  parametric
 149  KiDSDR4_J150126.605-012501.29           decent        2.513  parametric
 150  KiDSDR4_J123554.179+005550.41           decent        2.521  parametric
 151  KiDSDR4_J000110.222-351533.95           decent        2.669  parametric
 152  KiDSDR4_J120139.878-001226.26           decent        2.683  parametric
 153  KiDSDR4_J121152.582+011119.99           decent        2.698  parametric
 154  KiDSDR4_J152801.078+004030.62           decent        2.750  parametric
 155  KiDSDR4_J000012.031-310943.35           decent        2.751  parametric
 156  KiDSDR4_J233533.673-322722.06           decent        2.754  parametric
 157  KiDSDR4_J021110.350-302848.25           decent        2.755  parametric
 158  KiDSDR4_J221322.958-285447.91           decent        2.789  parametric
 159  KiDSDR4_J235440.569-303219.81           decent        2.840  parametric
 160  KiDSDR4_J000820.374-342718.99           decent        2.871  parametric
 161  KiDSDR4_J221339.008-331156.34           decent        2.992  parametric
 162  KiDSDR4_J013538.811-291531.46           decent        3.069  parametric
 163  KiDSDR4_J021504.013-284248.57           decent        3.095  parametric
 164  KiDSDR4_J121312.570+011853.41           decent        3.102  pixelized
 165  KiDSDR4_J021908.779-333119.81           decent        3.145  parametric
 166  KiDSDR4_J122456.016+005048.05           decent        3.164  parametric
 167  KiDSDR4_J231645.663-292343.20           decent        3.266  parametric
 168  KiDSDR4_J133708.008+011303.68           decent        3.270  parametric
 169  KiDSDR4_J083734.985+024523.73           decent        3.430  parametric
 170  KiDSDR4_J032230.223-344711.77           decent        3.468  parametric
 171  KiDSDR4_J111555.997-025204.81           decent        3.534  parametric
 172  KiDSDR4_J111253.976+001044.65           decent        3.569  parametric
 173  KiDSDR4_J231009.429-303122.01           decent        3.590  parametric
 174  KiDSDR4_J133844.788-010904.82           decent        3.607  parametric
 175  KiDSDR4_J003151.142-312638.83           decent        3.749  parametric
 176  KiDSDR4_J110051.121-005251.89           decent        3.853  parametric
 177  KiDSDR4_J033333.196-302441.95           decent        3.873  parametric
 178  KiDSDR4_J092136.654+021409.44           decent        3.946  group
 179  KiDSDR4_J084520.257-005459.56           decent        4.014  parametric
 180  KiDSDR4_J231606.127-322814.63           decent        4.547  parametric
 181  KiDSDR4_J011731.429-314432.70           decent        4.719  parametric
 182  KiDSDR4_J011045.486-290822.53           decent        4.865  pixelized
 183  KiDSDR4_J115855.204-023108.19           bad           5.027  parametric
 184  KiDSDR4_J225409.348-274934.16           bad           5.318  parametric
 185  KiDSDR4_J013403.712-303226.82           bad           5.433  parametric
 186  KiDSDR4_J221016.394-344006.27           bad           5.624  parametric
 187  KiDSDR4_J231132.234-342357.36           bad           5.693  parametric
 188  KiDSDR4_J233323.587-322807.40           bad           5.976  parametric
 189  KiDSDR4_J154712.516+002809.44           bad           6.227  pixelized
 190  KiDSDR4_J234843.274-304922.09           bad           6.457  parametric
 191  KiDSDR4_J235920.054-281535.45           bad           6.631  parametric
 192  KiDSDR4_J001625.370-313425.35           bad           6.678  parametric
 193  KiDSDR4_J085446.547-012137.03           bad           6.739  parametric
 194  KiDSDR4_J100108.387+024029.67           bad           6.980  parametric
 195  KiDSDR4_J120917.360-003415.91           bad           7.246  parametric
 196  KiDSDR4_J032402.732-274857.72           bad           7.383  parametric
 197  KiDSDR4_J133708.148-000633.50           bad           7.664  parametric
 198  KiDSDR4_J153136.971+002750.99           bad           8.526  parametric
 199  KiDSDR4_J121424.037-003206.32           bad           8.622  parametric
 200  KiDSDR4_J120743.259-010355.44           bad           8.926  parametric
 201  KiDSDR4_J114329.639-014429.98           bad           9.185  parametric
 202  KiDSDR4_J001810.363-285609.54           bad           9.459  parametric
 203  KiDSDR4_J103907.380-021630.07           bad           9.915  parametric
 204  KiDSDR4_J121424.132-003205.53           bad          10.624  parametric
 205  KiDSDR4_J134032.074-003737.83           bad          14.225  parametric
  --  KiDSDR4_J000014.372-281135.77           missing          --  --
  --  KiDSDR4_J000017.928-353229.26           missing          --  --
  --  KiDSDR4_J012647.465-284815.00           missing          --  --
  --  KiDSDR4_J022956.259-311022.65           missing          --  --
  --  KiDSDR4_J025717.233-271712.02           missing          --  --
  --  KiDSDR4_J030016.828-321249.98           missing          --  --
  --  KiDSDR4_J030639.688-273626.93           missing          --  --
  --  KiDSDR4_J083726.163+015639.25           missing          --  --
  --  KiDSDR4_J084520.156-005456.26           missing          --  --
  --  KiDSDR4_J115729.592+012844.07           missing          --  --
  --  KiDSDR4_J122442.115-003959.04           missing          --  --
  --  KiDSDR4_J131959.364+020704.85           missing          --  --
  --  KiDSDR4_J142706.615+004314.90           missing          --  --
  --  KiDSDR4_J144603.494-004016.70           missing          --  --
  --  KiDSDR4_J151037.311+024908.62           missing          --  --
  --  KiDSDR4_J230226.294-335637.56           missing          --  --
  --  KiDSDR4_J234338.567-335641.44           missing          --  --
  --  KiDSDR4_J235728.351-352013.03           missing          --  --
