ID,einstein_radius,einstein_radius_err3sig_lo,einstein_radius_err3sig_hi,source_effective_radius,source_re_err3sig_lo,source_re_err3sig_hi,snr_arc_model,chi2_per_pix
KiDSDR4_J000012.031-310943.35,1.0139180694912941,0.0431887416932365,0.05345917654698673,1.31827476479913,0.0923367419692851,0.1078476430120825,193.44468162353837,1.9016763977772742
KiDSDR4_J000052.387-330330.92,1.754637459868251,0.25051245430859703,0.3066340735676891,1.4533271327024913,0.22158957249301303,0.1870291665511319,69.62042611163409,1.2723136201285299
KiDSDR4_J000110.222-351533.95,2.615005965945794,0.004639106446175489,0.004832897324115848,2.0891871372579054,0.21724623777642327,0.2662037236279473,89.82172019444549,2.8293232089965423
KiDSDR4_J000239.985-294635.77,0.8149842887561951,0.05645589905301229,0.04721534457651255,0.3924109868924148,0.06824062824658922,0.09264589838934778,77.8902810918187,2.468339985153482
KiDSDR4_J000439.793-280507.82,3.9463688992837858,0.8891157155034906,0.24515389391581577,1.750498318410396,0.9067244810975901,1.0686216947049756,18.867403194965895,1.5599815736195413
KiDSDR4_J000517.478-352342.48,1.0165852737432344,0.04922787837154097,0.0570193766474012,4.415297627453749,1.5443210264937894,0.9404099987307974,112.77253204048243,1.024599206153321
KiDSDR4_J000820.374-342718.99,3.9998588337878385,0.006159086594404339,0.0007912506615155301,0.029649702033151985,0.0036065950055810536,0.0029180631886275704,9.681978660398821,13.981388725055886
KiDSDR4_J000837.779-330700.01,2.574392532916588,0.05882467770130395,0.05862956529451191,1.032094392648582,0.0805766105181388,0.1013807782132623,119.32791356714237,2.9116229398529034
KiDSDR4_J000856.019-284610.08,3.959107289624166,0.006600200367654185,0.012831028215278817,0.49538002012763865,0.10332567560362504,0.40445624051349793,25.30772309709535,2.652491544857998
KiDSDR4_J001625.370-313425.35,3.9904592826421865,1.5404734384487884,0.3206593518785632,1.3825592166846152,0.04089057081546388,0.03694368368335965,121.13206237250789,4.85553918589033
KiDSDR4_J001659.713-293119.84,1.3378672664927376,0.10889334688560504,0.13287423234526208,1.1526626198766043,0.05699040392170951,0.057646254245069084,175.9847352859548,2.255994801614804
KiDSDR4_J001701.686-280827.57,1.5444250266659034,0.30829972214283763,0.26460210072047663,0.6248931049436043,0.05512448151520877,0.05810158687781963,53.10407988290836,1.0990882028370552
KiDSDR4_J001810.363-285609.54,1.15327261985384,0.004328152484404324,0.004049629479694783,8.203851107614668,0.49784395521855895,0.43550877873137495,159.9218637703836,3.552270458119777
KiDSDR4_J001941.102-332229.42,1.6024077250299738,0.27796745149788715,0.2093920605215851,1.331302243816077,0.12935362802199113,0.1517844238987094,92.51984974583115,1.641346348111222
KiDSDR4_J002105.099-283818.44,3.992426434885347,0.31880439276209227,0.04526431438341749,3.923465111098341,2.4685392550722516,11.77914553267186,36.30970878369128,1.4380728619912466
KiDSDR4_J002516.888-293016.99,3.1524746507037444,0.27275429909307736,0.46017367312753654,0.5552302076848703,0.34192836252480907,1.0305678870683042,11.605196226794225,1.3954954886958308
KiDSDR4_J003151.142-312638.83,3.834466496078737,0.02307431339868815,0.03405761454028644,0.021163556651656423,0.0003583176017214751,0.0004786740228814555,19.16067408493291,3.749064630135665
KiDSDR4_J004204.610-323222.56,1.138048008835618,0.16351418657378902,0.16235013457492053,2.711518180314211,0.2254028193201525,0.2805542421403149,197.8596647277903,2.5134598482084627
KiDSDR4_J004439.128-291957.30,2.08566170846902,0.10949653442224205,0.1713187543875483,0.7556801060860072,0.3143231795655075,0.35229613079073074,24.788504846593625,2.1612619336060264
KiDSDR4_J004558.739-331451.79,3.7178611019579977,0.34368064863763115,0.2540478196000824,0.31442460792262394,0.04968104867714829,0.05697525558122096,25.448815585905464,1.1540733044787634
KiDSDR4_J005404.848-305809.32,1.2261805726653965,0.11407658298553391,0.18240615364113877,11.558485704199532,4.416002392556946,5.829613298365926,98.8032973118709,1.7961274467930184
KiDSDR4_J010127.840-334319.40,2.1787969279329147,0.012392999272274885,0.011744368962923968,0.5863356901689716,0.22059123726198526,0.2067346243758985,92.32551048776601,1.4825880010268313
KiDSDR4_J010257.486-291121.76,1.1431692849518358,0.19133170102606734,0.21516706409075526,2.3243013964204002,0.4881630674695543,0.7959770056972175,99.9300649562445,1.068241405556879
KiDSDR4_J010606.232-310437.84,1.9917243578167647,0.11341699896228175,0.17779705404568213,9.468000693292312,3.4289558715047823,3.029761813928335,52.21752368389842,1.6887588400977673
KiDSDR4_J010642.065-342401.02,2.982175744057932,0.10282475045971129,0.09472919382517375,0.9141240620096127,0.290921455264194,0.6201352397270306,46.72559102052297,1.3764967460935857
KiDSDR4_J010704.918-312841.03,3.9862322142517943,0.002967020992045377,0.006175569332519171,4.225105107143757,0.6422024692923882,0.4299328034443439,13.988581372977592,3.6242042076524306
KiDSDR4_J011045.486-290822.53,1.0600679593325564,0.049267216937144864,0.06014010748119647,2.387598763130929,0.681799219230762,1.5099777876086726,162.80163437157432,3.4029788340478224
KiDSDR4_J011153.430-314227.41,1.6493492653105974,0.1380782721721563,0.07692169432427298,26.831960081385308,11.330987565263584,3.398787807242062,93.89007209203635,1.45226468009016
KiDSDR4_J013403.712-303226.82,1.3098614787638259,0.1182071094383883,0.08412989146895544,2.406992097455002,0.19826909326355135,0.20835211567796685,264.77363135216973,3.3066812481010053
