ID,Grade,recovered,chi2_per_pix,snr_arc_model,source_model,well_converged_chi2le2
KiDSDR4 J115015.646-015752.32,B,True,1.5933652146170696,17.784067041972975,parametric,True
KiDSDR4 J115637.743-000903.21,B,False,1.5038641047462078,37.655813264585554,parametric,True
KiDSDR4 J115729.592+012844.07,B,False,,,,False
KiDSDR4 J115855.204-023108.19,B,False,6.072797445920324,159.25002966332852,parametric,False
KiDSDR4 J120139.878-001226.26,B,False,2.308676414248796,375.2234523904937,parametric,False
KiDSDR4 J120743.259-010355.44,B,False,5.503397539648925,384.8471492815475,parametric,False
KiDSDR4 J120917.360-003415.91,B,False,3.740059248287189,237.70561481222785,parametric,False
KiDSDR4 J121152.582+011119.99,B,False,2.461889353720735,73.91418660082789,parametric,False
KiDSDR4 J121424.037-003206.32,B,False,4.145466548606166,126.71677622587212,parametric,False
KiDSDR4 J121424.132-003205.53,B,False,9.993765318147377,496.17621771369556,parametric,False
KiDSDR4 J122335.140-021030.63,B,False,1.161572581299895,127.17955497491268,parametric,True
KiDSDR4 J122456.016+005048.05,B,False,,,,False
KiDSDR4 J123421.817-000925.99,B,True,1.3465286664124025,26.325590512750676,parametric,True
KiDSDR4 J123554.179+005550.41,B,False,2.22551078581758,15.730984645931258,parametric,False
KiDSDR4 J131529.230+013223.65,B,True,4.673427661090699,11.017783863364382,parametric,False
KiDSDR4 J131959.364+020704.85,B,False,,,,False
KiDSDR4 J133459.471+001617.50,B,False,1.5523375718913608,154.18784927832886,parametric,True
KiDSDR4 J133708.008+011303.68,B,False,2.062845440680423,-0.1746545545984922,parametric,False
KiDSDR4 J133844.788-010904.82,B,True,6.890026810355792,100.98694698548627,parametric,False
KiDSDR4 J134455.641-002015.60,B,False,1.6699328201900325,181.48162028995603,parametric,True
KiDSDR4 J141503.117-003105.93,B,True,1.8752706505635706,18.113158925023544,parametric,True
KiDSDR4 J141913.862+025635.41,B,False,2.0201320085959327,200.11739398176036,parametric,False
KiDSDR4 J142235.405-023857.36,B,False,2.509716133292231,232.67952533660682,parametric,False
