ID,Grade,origin_upd,RA,DEC
KiDSDR4 J133844.788-010904.82,B,LINKS,204.686617,-1.151341
KiDSDR4 J134455.641-002015.60,B,LINKS,206.231838,-0.337667
KiDSDR4 J141503.117-003105.93,B,TEGLIE_1,213.762991,-0.518314
KiDSDR4 J141913.862+025635.41,B,"LINKS,TEGLIE_2",214.807762,2.94317
KiDSDR4 J142235.405-023857.36,B,LINKS,215.647521,-2.649267
KiDSDR4 J142332.130-003115.73,B,TEGLIE_1,215.883879,-0.521038
KiDSDR4 J142528.079-011504.48,B,TEGLIE_2,216.366998,-1.251247
KiDSDR4 J142541.213+002216.85,B,TEGLIE_1,216.421724,0.371349
KiDSDR4 J142706.615+004314.90,B,"LINKS,TEGLIE_2",216.777563,0.720806
KiDSDR4 J144515.550+004133.42,B,TEGLIE_1,221.314793,0.692618
KiDSDR4 J144603.494-004016.70,B,LINKS,221.514559,-0.671306
KiDSDR4 J144723.506-001207.74,B,TEGLIE_1,221.847943,-0.202151
KiDSDR4 J144950.700+005536.65,B,TEGLIE_1,222.461254,0.92685
KiDSDR4 J145325.778-003331.75,B,"LINKS,AL",223.357411,-0.558822
KiDSDR4 J154712.516+002809.44,B,LINKS,236.80215,0.469289
KiDSDR4 J221339.008-331156.34,B,LINKS,333.412536,-33.198985
KiDSDR4 J225409.348-274934.16,B,LINKS,343.538954,-27.826156
KiDSDR4 J230024.723-351233.67,B,LINKS,345.103013,-35.209355
KiDSDR4 J230621.790-303040.05,B,TEGLIE_1,346.590794,-30.511126
KiDSDR4 J230740.782-295058.93,B,TEGLIE_2,346.919926,-29.849703
KiDSDR4 J231009.429-303122.01,B,TEGLIE_2,347.53929,-30.522782
KiDSDR4 J231132.234-342357.36,B,TEGLIE_2,347.88431,-34.399267
KiDSDR4 J232041.173-301353.02,B,TEGLIE_1,350.171555,-30.231397
KiDSDR4 J233105.551-335829.71,B,LINKS,352.773132,-33.97492
KiDSDR4 J234338.567-335641.44,B,LINKS,355.910697,-33.944845
KiDSDR4 J234719.642-333022.28,B,LINKS,356.831844,-33.50619
