 num   chi2/pix  ID
 123       1.35  KiDSDR4_J123421.817-000925.99
 124       2.22  KiDSDR4_J123554.179+005550.41
 125       1.77  KiDSDR4_J123752.030+000846.84
 126       1.30  KiDSDR4_J124215.591+020801.00
 127       4.67  KiDSDR4_J131529.230+013223.65
 128       2.44  KiDSDR4_J133459.471+001617.50
 129       3.92  KiDSDR4_J133708.008+011303.68
 130       3.04  KiDSDR4_J133708.148-000633.50
 131       6.99  KiDSDR4_J133844.788-010904.82
 132      14.23  KiDSDR4_J134032.074-003737.83
 133       1.67  KiDSDR4_J134455.641-002015.60
 134       1.68  KiDSDR4_J135435.336-003719.64
 135       1.86  KiDSDR4_J140031.880+024610.26
 136       1.74  KiDSDR4_J140733.603-014923.42
 137       1.00  KiDSDR4_J140929.697-011410.82
 138       5.67  KiDSDR4_J141136.980+015357.13
 139       1.42  KiDSDR4_J141325.378+010907.83
 140       1.88  KiDSDR4_J141503.117-003105.93
 141       2.01  KiDSDR4_J141649.819+013822.23
 142       2.46  KiDSDR4_J141741.465+021705.13
 143       1.31  KiDSDR4_J141908.441+002049.65
 144       2.02  KiDSDR4_J141913.862+025635.41
 145       1.35  KiDSDR4_J142232.321+000134.55
 146       2.54  KiDSDR4_J142235.405-023857.36
 147       2.08  KiDSDR4_J142332.130-003115.73
 148       2.14  KiDSDR4_J142404.740-023019.89
 149       1.18  KiDSDR4_J142528.079-011504.48
 150       0.50  KiDSDR4_J142541.213+002216.85
 151       1.83  KiDSDR4_J143001.826-015045.16
 152       2.93  KiDSDR4_J144503.938-032042.35
 153       1.14  KiDSDR4_J144515.550+004133.42
 154       1.93  KiDSDR4_J144723.506-001207.74
 155       6.08  KiDSDR4_J144950.700+005536.65
 156       1.06  KiDSDR4_J145325.778-003331.75
 157       1.24  KiDSDR4_J145434.187-003428.19
 158       3.43  KiDSDR4_J150126.605-012501.29
 159       1.69  KiDSDR4_J150421.290+001700.13
 160       1.56  KiDSDR4_J151041.479-011903.79
 161       5.00  KiDSDR4_J151059.207+021938.68
 162       1.41  KiDSDR4_J152408.309-014343.35
 163       7.36  KiDSDR4_J152801.078+004030.62
 164       2.79  KiDSDR4_J154712.516+002809.44
 165       0.84  KiDSDR4_J154823.583+015832.68
 166       1.61  KiDSDR4_J155300.545+001455.15
 167       4.81  KiDSDR4_J220412.512-350654.12
 168       1.30  KiDSDR4_J220606.000-351958.39
 169       2.80  KiDSDR4_J221016.394-344006.27
 170       2.19  KiDSDR4_J221322.958-285447.91
 171       7.59  KiDSDR4_J221339.008-331156.34
 172       3.48  KiDSDR4_J221400.330-292031.21
 173       2.73  KiDSDR4_J221647.408-292059.14
 174       0.65  KiDSDR4_J222209.601-335733.28
 175       1.97  KiDSDR4_J222243.178-340745.35
 176       1.58  KiDSDR4_J223409.199-285423.36
 177       2.20  KiDSDR4_J223747.073-281546.48
 178       1.66  KiDSDR4_J224144.452-282152.16
 179       1.98  KiDSDR4_J224546.032-295559.03
 180       2.83  KiDSDR4_J225409.348-274934.16
 181       5.49  KiDSDR4_J230024.723-351233.67
 182       1.25  KiDSDR4_J230150.841-352631.68
 183       1.90  KiDSDR4_J230621.790-303040.05
 184       1.58  KiDSDR4_J230740.782-295058.93
 185       4.68  KiDSDR4_J231009.429-303122.01
 186       3.24  KiDSDR4_J231132.234-342357.36
 187       3.68  KiDSDR4_J231606.127-322814.63
 188       4.48  KiDSDR4_J231645.663-292343.20
 189       1.23  KiDSDR4_J232011.140-294158.79
 190       1.16  KiDSDR4_J232039.461-281711.12
 191       1.14  KiDSDR4_J232041.173-301353.02
 192       2.92  KiDSDR4_J233105.551-335829.71
